YEAR,DISTRICT,VEHICLE AT FAULT,VICTIM,TYPE OF ACCIDENT,# INJURED,# KILLED ,,,
2008,CENTRAL DELHI,TSR,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,SOUTH EAST DELHI,UNKNOWN,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,NORTH DELHI(ROHINI),PVT CAR,S/C & M/C,SIMPLE ACCIDENT,1,0,,,
2008,NEW DELHI,S/C&M/C,SELF,SIMPLE ACCIDENT,3,0,,,
2008,EAST DELHI,UNKNOWN,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,EAST DELHI,PVT CAR,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,WEST DELHI,UNKNOWN,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,SOUTH EAST DELHI,S/C&M/C,S/C & M/C,SIMPLE ACCIDENT,1,0,,,
2008,NORTH DELHI(ROHINI),BLUE LN,PASSANGER,SIMPLE ACCIDENT,1,0,,,
2008,NEW DELHI,TEMPO,CYCLE,SIMPLE ACCIDENT,1,0,,,
2008,WEST DELHI,S/C&M/C,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,NORTH WEST DELHI,PVT CAR,S/C & M/C,SIMPLE ACCIDENT,1,0,,,
2008,NEW DELHI,PVT CAR,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,EAST DELHI,S/C&M/C,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,SHAHDARA,PVT CAR,TNG,SIMPLE ACCIDENT,1,0,,,
2008,WEST DELHI,PVT CAR,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,NORTH WEST DELHI,BLUE LN,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,SOUTH EAST DELHI,HTV/GDS,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,CENTRAL DELHI,UNKNOWN,PEDESTRIAN,FATAL ACCIDENT,0,1,,,
2008,NORTH DELHI(ROHINI),TEMPO,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,SOUTH EAST DELHI,BLUE LN,CAR,NON INJURY,0,0,,,
2008,WEST DELHI,UNKNOWN,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,SOUTH WEST DELHI,MIN.BUS,S/C & M/C,SIMPLE ACCIDENT,1,0,,,
2008,NORTH DELHI(ROHINI),HTV/GDS,S/C & M/C,SIMPLE ACCIDENT,1,0,,,
2008,CENTRAL DELHI,S/C&M/C,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,CENTRAL DELHI,S/C&M/C,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,SOUTH DELHI,UNKNOWN,S/C & M/C,SIMPLE ACCIDENT,1,0,,,
2008,NEW DELHI,UNKNOWN,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,WEST DELHI,TEMPO,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,SHAHDARA,TEMPO,S/C & M/C,SIMPLE ACCIDENT,2,0,,,
2008,SOUTH DELHI,PVT CAR,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,NORTH WEST DELHI,UNKNOWN,CYCLE,SIMPLE ACCIDENT,1,0,,,
2008,NORTH EAST DELHI,S/C&M/C,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,NORTH EAST DELHI,UNKNOWN,PEDESTRIAN,FATAL ACCIDENT,0,1,,,
2008,CENTRAL DELHI,DTC BUS,S/C & M/C,SIMPLE ACCIDENT,1,0,,,
2008,SOUTH WEST DELHI,PVT CAR,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,SOUTH WEST DELHI,PVT CAR,S/C & M/C,SIMPLE ACCIDENT,1,0,,,
2008,NORTH EAST DELHI,PVT CAR,S/C & M/C,SIMPLE ACCIDENT,1,0,,,
2008,SOUTH WEST DELHI,S/C&M/C,PEDESTRIAN,FATAL ACCIDENT,0,1,,,
2008,NEW DELHI,UNKNOWN,PEDESTRIAN,FATAL ACCIDENT,0,1,,,
2008,NEW DELHI,PVT CAR,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,SOUTH WEST DELHI,S/C&M/C,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,EAST DELHI,PVT CAR,PEDESTRIAN,SIMPLE ACCIDENT,2,0,,,
2008,EAST DELHI,PVT CAR,CAR,SIMPLE ACCIDENT,1,0,,,
2008,EAST DELHI,PVT CAR,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,NEW DELHI,DTC BUS,PASSANGER,SIMPLE ACCIDENT,1,0,,,
2008,NORTH DELHI(ROHINI),PVT CAR,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,EAST DELHI,DELIVRY,CAR,SIMPLE ACCIDENT,1,0,,,
2008,NEW DELHI,PVT CAR,S/C & M/C,SIMPLE ACCIDENT,1,0,,,
2008,WEST DELHI,UNKNOWN,CYCLE,FATAL ACCIDENT,0,1,,,
2008,NEW DELHI,HTV/GDS,S/C & M/C,FATAL ACCIDENT,1,1,,,
2008,NORTH WEST DELHI,UNKNOWN,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,SOUTH WEST DELHI,PVT CAR,S/C & M/C,SIMPLE ACCIDENT,1,0,,,
2008,NEW DELHI,UNKNOWN,S/C & M/C,FATAL ACCIDENT,2,1,,,
2008,NORTH DELHI(ROHINI),HTV/GDS,CAR,NON INJURY,0,0,,,
2008,NORTH DELHI(ROHINI),PVT CAR,CYCLE,FATAL ACCIDENT,0,1,,,
2008,SOUTH EAST DELHI,UNKNOWN,S/C & M/C,SIMPLE ACCIDENT,1,0,,,
2008,NORTH WEST DELHI,HTV/GDS,TMP,SIMPLE ACCIDENT,1,0,,,
2008,SOUTH WEST DELHI,S/C&M/C,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,CENTRAL DELHI,TSR,PEDESTRIAN,SIMPLE ACCIDENT,2,0,,,
2008,SOUTH EAST DELHI,UNKNOWN,S/C & M/C,SIMPLE ACCIDENT,1,0,,,
2008,CENTRAL DELHI,HTV/GDS,PEDESTRIAN,FATAL ACCIDENT,0,1,,,
2008,SOUTH WEST DELHI,S/C&M/C,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,NORTH DELHI(ROHINI),UNKNOWN,PEDESTRIAN,FATAL ACCIDENT,0,1,,,
2008,NEW DELHI,PVT CAR,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,NEW DELHI,PVT CAR,S/C & M/C,FATAL ACCIDENT,0,1,,,
2008,SOUTH EAST DELHI,MIN.BUS,PASSANGER,SIMPLE ACCIDENT,1,0,,,
2008,NORTH DELHI(ROHINI),PVT CAR,PEDESTRIAN,SIMPLE ACCIDENT,1,0,,,
2008,EAST DELHI,HTV/GDS,CYCLE RICKSHAW,FATAL ACCIDENT,0,1,,,
2008,NORTH DELHI(ROHINI),UNKNOWN,S/C & M/C,SIMPLE ACCIDENT,2,0,,,
2008,NEW DELHI,PVT CAR,CAR,SIMPLE ACCIDENT,1,0,,,
2008,NEW DELHI,UNKNOWN,PEDESTRIAN,FATAL ACCIDENT,0,1,,,
2008,NORTH WEST DELHI,PVT CAR,CAR,SIMPLE ACCIDENT,1,0,,,
2008,NORTH WEST DELHI,PVT CAR,S/C & M/C,SIMPLE ACCIDENT,1,0,,,
2008,SOUTH EAST DELHI,PVT CAR,CYCLE,SIMPLE ACCIDENT,1,0,,,
